"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","2° LUGAR A NIVEL NACIONAL 🤧😷 Incrementa a 64 cifra de muertos por #influenza en Hidalgo.

#ENTÉRATE ▶️▶️… https://t.co/w7GY6JFLAo",FALSE,0,NA,2019-03-08 18:19:48,TRUE,NA,"1104084318064906240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amdigitalhgo",0,FALSE,FALSE,NA,NA
"2","RT @EBmedicine: #Tamiflu (oseltamivir) is the most common ""treatment"" for #influenza, and a 2015 meta-analysis  found a 21% shorter time to…",FALSE,0,NA,2019-03-08 18:16:55,FALSE,NA,"1104083589329813504",NA,"<a href=""https://meta-evidence.co.uk"" rel=""nofollow"">Systematic Review Bot</a>","EvidenceRobot",1,TRUE,FALSE,NA,NA
"3","#Tamiflu (oseltamivir) is the most common ""treatment"" for #influenza, and a 2015 meta-analysis  found a 21% shorter… https://t.co/I53QBRnyDt",FALSE,0,NA,2019-03-08 18:15:01,TRUE,NA,"1104083113003618305",NA,"<a href=""https://www.semrush.com/"" rel=""nofollow"">SEMrush Social Media Tool</a>","EBmedicine",1,FALSE,FALSE,NA,NA
"4","RT @ISSSTE_HGO: Es importante aplicar la vacuna contra influenza en los grupos de riesgo señalados previamente, en estas personas la infecc…",FALSE,0,NA,2019-03-08 18:02:58,FALSE,NA,"1104080079062208513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GapAldo",1,TRUE,FALSE,NA,NA
"5","RT @ISSSTE_HGO: … Personas de cualquier edad que padezcan enfermedades crónicas como enfermedades vasculares (hipertensión), enfermedades c…",FALSE,0,NA,2019-03-08 18:02:54,FALSE,NA,"1104080062113107969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GapAldo",1,TRUE,FALSE,NA,NA
"6","RT @ISSSTE_HGO: Se recomienda la aplicación de la vacuna contra #Influenza para los siguientes grupos de riesgo, Niños de 6 a 59 meses de e…",FALSE,0,NA,2019-03-08 18:02:52,FALSE,NA,"1104080053229547521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GapAldo",1,TRUE,FALSE,NA,NA
"7","RT @ISSSTE_HGO: Si presentas los síntomas de la #Influenza, acudir a tiempo a la Unidad de Salud más cercana, puede salvar tu vida https://…",FALSE,0,NA,2019-03-08 18:02:47,FALSE,NA,"1104080035638640642",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GapAldo",1,TRUE,FALSE,NA,NA
"8","RT @ISSSTE_HGO: Síntomas de la #Influenza : Fiebre alta (Mayor a 38º), Dolores musculares, Dolor de cabeza, Severo malestar general, Tos, D…",FALSE,0,NA,2019-03-08 18:02:43,FALSE,NA,"1104080016273481729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GapAldo",2,TRUE,FALSE,NA,NA
"9","RT @ISSSTE_HGO: La vacuna contra #Influenza protege contra los virus estacionales A(H1N1), A(H3N2) y tipo B. #MedidasPreventivas https://t.…",FALSE,0,NA,2019-03-08 18:02:36,FALSE,NA,"1104079987286704129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GapAldo",1,TRUE,FALSE,NA,NA
"10","The #CDC flu map for Week 9 - ending March 2 - shows just a couple of states (Vermont and Hawaii) without widesprea… https://t.co/pvgO31TdEt",FALSE,0,NA,2019-03-08 17:52:55,TRUE,NA,"1104077549607534593",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MMCAP_Online",0,FALSE,FALSE,NA,NA
"11","https://t.co/KqXhnKCKG1  #plague #pandemic #influenza #Ebola #measles #Funding #History",FALSE,0,NA,2019-03-08 17:31:19,FALSE,NA,"1104072113596624898",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fabricdragon",0,FALSE,FALSE,NA,NA
"12","https://t.co/yjaVWrrtWN  #plague #influenza #Ebola #pandemic #History",FALSE,0,NA,2019-03-08 17:30:22,FALSE,NA,"1104071875792121856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fabricdragon",0,FALSE,FALSE,NA,NA
"13","RT @cellhostmicrobe: A new means to fight #flu: New work identifies an orally active small molecule against #influenza A HA that functional…",FALSE,0,NA,2019-03-08 17:05:54,FALSE,NA,"1104065718289645568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sbdrysdale",6,TRUE,FALSE,NA,NA
"14","Join @ATS_AII for a comprehensive JC “Lung gd T Cells Mediate Protective Responses during Neonatal Influenza Infect… https://t.co/h1xIvKQKS3",FALSE,1,NA,2019-03-08 16:46:29,TRUE,NA,"1104060833263427584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ATS_Assemblies",0,FALSE,FALSE,NA,NA
"15","RT @cellhostmicrobe: A new means to fight #flu: New work identifies an orally active small molecule against #influenza A HA that functional…",FALSE,0,NA,2019-03-08 16:38:47,FALSE,NA,"1104058894899273728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aiubsharif1",6,TRUE,FALSE,NA,NA
"16","RT @cellhostmicrobe: A new means to fight #flu: New work identifies an orally active small molecule against #influenza A HA that functional…",FALSE,0,NA,2019-03-08 16:27:07,FALSE,NA,"1104055959465443328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dferhadian",6,TRUE,FALSE,NA,NA
"17","#Salud | “La diabetes es una enfermedad crónica que afecta la manera en que el organismo convierte el alimento en e… https://t.co/B2W9OdKg7V",FALSE,1,NA,2019-03-08 16:00:01,TRUE,NA,"1104049138960818177",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","VertigoPolitico",0,FALSE,FALSE,NA,NA
"18","What #Vaccines Does #Medicare Part D Cover? #PDP #influenza #shingles #tetanus #pneumonia https://t.co/NMtv0mDCqw",FALSE,0,NA,2019-03-08 15:07:58,FALSE,NA,"1104036040170504193",NA,"<a href=""https://coschedule.com"" rel=""nofollow"">CoSchedule</a>","MedicareFAQ",0,FALSE,FALSE,NA,NA
"19","RT @cellhostmicrobe: A new means to fight #flu: New work identifies an orally active small molecule against #influenza A HA that functional…",FALSE,0,NA,2019-03-08 14:58:07,FALSE,NA,"1104033559629754369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EduardYts5",6,TRUE,FALSE,NA,NA
"20","RT @cellhostmicrobe: A new means to fight #flu: New work identifies an orally active small molecule against #influenza A HA that functional…",FALSE,0,NA,2019-03-08 14:50:44,FALSE,NA,"1104031704220606464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joaodjota",6,TRUE,FALSE,NA,NA
"21","RT @Salud_Hidalgo: Acude a tu unidad médica más cercana y vacúnate contra la #Influenza recuerda es totalmente gratuita y segura #CuidaTuSa…",FALSE,0,NA,2019-03-08 14:10:48,FALSE,NA,"1104021653275795456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","albertori06",4,TRUE,FALSE,NA,NA
"22","RT @LolitaOsorio_: ¡Buen día! ☀️

Recuerda mantener ventilado tu hogar y desinfecta superficies.

La #Influenza 🦠 es una enfermedad de orig…",FALSE,0,NA,2019-03-08 14:09:59,FALSE,NA,"1104021449281556482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","albertori06",3,TRUE,FALSE,NA,NA
"23","A new means to fight #flu: New work identifies an orally active small molecule against #influenza A HA that functio… https://t.co/zYDUOPNJhA",FALSE,8,NA,2019-03-08 14:05:09,TRUE,NA,"1104020232765689859",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cellhostmicrobe",6,FALSE,FALSE,NA,NA
"24","RT @censia_salud: La #vacunación ayuda a proteger a mujeres durante el embarazo y a sus #bebés hasta los 6 meses después de nacer. #Influen…",FALSE,0,NA,2019-03-08 13:30:59,FALSE,NA,"1104011632542392320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JesusRomeroSan2",6,TRUE,FALSE,NA,NA
"25","RT @censia_salud: Si estás embarazada, es muy importante vacunarte contra la #influenza en esta temporada de frío.
Marzo es el último mes e…",FALSE,0,NA,2019-03-08 13:26:04,FALSE,NA,"1104010396321673216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JesusRomeroSan2",16,TRUE,FALSE,NA,NA
"26","@MadisonVirology Great talk by @LangloisLab yesterday. Loved hearing about his single cycle infection studies with… https://t.co/3MPmheM22w",FALSE,3,"MadisonVirology",2019-03-08 12:42:50,TRUE,"1101529521495465984","1103999516435496961","1044349564743032832","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UWbernardLab",0,FALSE,FALSE,NA,NA
