"","lat","lon"
"1",35.0526641,-78.8783585
"2",32.1656221,-82.9000751
"3",29.8849504,-93.939947
"4",39.768403,-86.158068
"5",30.9842977,-91.9623327
"6",39.768403,-86.158068
"7",19.5562275,-99.2674713
"8",37.7749295,-122.4194155
"9",53.265325,-4.4291403
"10",36.1023715,-115.1745559
"11",39.0997265,-94.5785667
"12",42.331427,-83.0457538
"13",34.769536,-92.2670941
"14",29.7604267,-95.3698028
"15",47.2528768,-122.4442906
"16",33.7489954,-84.3879824
"17",38.6270025,-90.1994042
"18",41.8781136,-87.6297982
"19",32.7766642,-96.7969879
"20",54.6541971,-5.6730648
"21",51.2330699,-0.5732182
"22",32.1656221,-82.9000751
"23",39.768403,-86.158068
"24",41.4217637,-72.9970496
"25",26.6617635,-80.2683571
"26",51.253775,-85.323214
"27",36.778261,-119.4179324
"28",40.0583238,-74.4056612
"29",44.5394039,-95.1169424
"30",39.9741059,-74.1592278
"31",40.735657,-74.1723667
"32",39.768403,-86.158068
"33",32.3546679,-89.3985283
"34",40.7263542,-73.9865533
"35",39.0457549,-76.6412712
"36",37.9642529,-91.8318334
"37",51.8985143,-8.4756035
"38",39.7219882,-85.8891471
"39",37.5407246,-77.4360481
"40",43.7320175,-71.5884095
"41",33.8622366,-118.3995194
"42",42.4072107,-71.3824374
"43",41.7533819,-86.1108377
"44",39.0911161,-94.4155068
"45",40.7957399,-73.9389213
"46",17.0542297,-96.7132304
"47",29.4241219,-98.4936282
"48",41.556996,-83.627157
"49",39.768403,-86.158068
"50",38.9906657,-77.026088
"51",41.7658043,-72.6733723
"52",40.2671941,-86.1349019
"53",45.4604,-122.788377
"54",40.1672068,-105.1019275
"55",35.9131996,-79.0558445
"56",40.2671941,-86.1349019
"57",40.7263249,-74.2286435
"58",40.4878011,-86.7615442
"59",34.0522342,-118.2436849
"60",36.1345807,-80.6595079
"61",39.768403,-86.158068
"62",41.8781136,-87.6297982
"63",39.768403,-86.158068
"64",39.1155314,-94.6267873
"65",33.6890603,-78.8866943
"66",40.5583739,-85.6591442
"67",36.0726354,-79.7919754
"68",39.768403,-86.158068
"69",40.1053196,-85.6802541
"70",39.9525839,-75.1652215
"71",34.0522342,-118.2436849
"72",37.3229978,-122.0321823
"73",40.4172871,-82.907123
"74",41.6032207,-73.087749
"75",36.7855543,-108.6870322
"76",39.768403,-86.158068
"77",39.768403,-86.158068
"78",40.2671941,-86.1349019
"79",39.768403,-86.158068
"80",32.7766642,-96.7969879
"81",34.0522342,-118.2436849
"82",39.768403,-86.158068
"83",39.768403,-86.158068
"84",39.768403,-86.158068
"85",41.49932,-81.6943605
"86",40.121497,-75.3399048
"87",40.6781784,-73.9441579
"88",40.6331249,-89.3985283
"89",39.9868904,-75.4007058
"90",50.674522,-120.3272675
"91",33.5185892,-86.8103567
"92",36.8507689,-76.2858726
"93",29.7604267,-95.3698028
"94",38.801953,-94.4527294
"95",36.1626638,-86.7816016
"96",47.5206407,-52.8076818
"97",33.7489954,-84.3879824
"98",41.2033216,-77.1945247
"99",35.9131996,-79.0558445
"100",41.5623209,-72.6506488
"101",35.9131996,-79.0558445
"102",43.3616211,-80.3144276
"103",40.6781784,-73.9441579
"104",29.6516344,-82.3248262
"105",34.0522342,-118.2436849
"106",39.768403,-86.158068
"107",39.8433769,-86.3977735
"108",34.7464809,-92.2895948
"109",44.5588028,-72.5778415
"110",30.1660736,-81.706484
"111",40.4172871,-82.907123
"112",42.8864468,-78.8783689
"113",33.1858911,-87.4625897
"114",38.568709,-81.0595534
"115",32.7766642,-96.7969879
"116",43.653226,-79.3831843
"117",42.6525793,-73.7562317
"118",34.2419509,-117.2855993
"119",42.2625932,-71.8022934
"120",37.8397626,-94.7082951
"121",32.3182314,-86.902298
"122",36.1626638,-86.7816016
"123",42.2625932,-71.8022934
"124",51.253775,-85.323214
"125",42.3600825,-71.0588801
"126",44.0978509,-70.2311655
"127",44.9537029,-93.0899578
"128",39.1031182,-84.5120196
